ruta_simulada,total_viajes,tiempo_promedio,distancia_promedio
Duracion_~141hrs_Dist_~2km,4,8490.75,2264.2
Duracion_~261hrs_Dist_~4km,4,15679.5,4181.2
Duracion_~187hrs_Dist_~2km,4,11228.0,2994.133333333333
Duracion_~239hrs_Dist_~3km,4,14355.25,3828.0666666666666
Duracion_~243hrs_Dist_~3km,4,14603.0,3894.1333333333337
Duracion_~247hrs_Dist_~3km,4,14852.25,3960.6
Duracion_~238hrs_Dist_~3km,4,14291.75,3811.133333333333
Duracion_~268hrs_Dist_~4km,4,16116.75,4297.8
Duracion_~229hrs_Dist_~3km,4,13772.75,3672.7333333333336
Duracion_~249hrs_Dist_~3km,4,14970.25,3992.0666666666666
Duracion_~113hrs_Dist_~1km,4,6814.5,1817.1999999999998
Duracion_~231hrs_Dist_~3km,4,13882.5,3702.0
Duracion_~205hrs_Dist_~3km,4,12328.25,3287.5333333333333
Duracion_~136hrs_Dist_~2km,4,8192.75,2184.733333333333
Duracion_~235hrs_Dist_~3km,3,14123.0,3766.133333333333
Duracion_~227hrs_Dist_~3km,3,13650.0,3640.0
Duracion_~265hrs_Dist_~4km,3,15936.0,4249.599999999999
Duracion_~186hrs_Dist_~2km,3,11193.333333333334,2984.888888888889
Duracion_~213hrs_Dist_~3km,3,12820.666666666666,3418.8444444444444
Duracion_~144hrs_Dist_~2km,3,8664.333333333334,2310.488888888889
Duracion_~236hrs_Dist_~3km,3,14176.0,3780.266666666667
Duracion_~230hrs_Dist_~3km,3,13825.0,3686.6666666666665
Duracion_~285hrs_Dist_~4km,3,17133.0,4568.8
Duracion_~253hrs_Dist_~4km,2,15196.5,4052.3999999999996
Duracion_~244hrs_Dist_~3km,2,14666.5,3911.0666666666666
Duracion_~271hrs_Dist_~4km,2,16310.5,4349.466666666667
Duracion_~282hrs_Dist_~4km,2,16968.0,4524.8
Duracion_~250hrs_Dist_~4km,2,15030.5,4008.133333333333
Duracion_~280hrs_Dist_~4km,2,16822.0,4485.866666666667
Duracion_~234hrs_Dist_~3km,2,14078.5,3754.2666666666664
Duracion_~304hrs_Dist_~4km,2,18264.0,4870.4
Duracion_~279hrs_Dist_~4km,2,16768.5,4471.6
Duracion_~269hrs_Dist_~4km,2,16155.5,4308.133333333333
Duracion_~274hrs_Dist_~4km,2,16462.5,4390.0
Duracion_~266hrs_Dist_~4km,2,16000.0,4266.666666666667
Duracion_~254hrs_Dist_~4km,2,15250.5,4066.8
Duracion_~251hrs_Dist_~4km,2,15061.0,4016.2666666666664
Duracion_~187hrs_Dist_~3km,2,11260.5,3002.8
Duracion_~264hrs_Dist_~4km,2,15847.5,4226.0
Duracion_~288hrs_Dist_~4km,2,17293.5,4611.6
