bici,viajes,distancia_total,minutos_totales,eficiencia_km_min
545-2651,7,6371.413333333333,23892.80000000001,0.26666666666666655
647-9604,6,5720.3822222222225,21451.43333333334,0.26666666666666655
422-0430,4,3227.5555555555557,12103.33333333334,0.26666666666666655
816-9047,6,4560.933333333333,17103.500000000007,0.26666666666666655
875-5852,6,6200.435555555555,23251.633333333342,0.26666666666666655
742-5192,5,5061.951111111111,18982.316666666673,0.26666666666666655
532-2888,4,4245.337777777777,15920.01666666667,0.26666666666666655
320-8584,9,10512.377777777776,39421.41666666668,0.26666666666666655
449-2914,4,4095.662222222222,15358.733333333339,0.26666666666666655
521-0661,4,3144.5822222222223,11792.18333333334,0.26666666666666655
461-4095,6,5435.795555555555,20384.23333333334,0.26666666666666655
738-8598,6,5272.5022222222215,19771.88333333334,0.26666666666666655
248-0408,4,3865.4622222222224,14495.48333333334,0.26666666666666655
518-3173,4,3192.862222222222,11973.233333333339,0.26666666666666655
232-4192,4,3305.431111111111,12395.36666666667,0.26666666666666655
649-7168,4,3844.5155555555557,14416.93333333334,0.26666666666666655
718-5374,8,7964.719999999999,29867.70000000001,0.26666666666666655
618-0426,9,12700.106666666667,47625.400000000016,0.26666666666666655
438-0481,8,8112.066666666667,30420.250000000015,0.26666666666666655
488-7139,8,9465.675555555554,35496.28333333334,0.26666666666666655
556-4851,6,4388.022222222222,16455.08333333334,0.26666666666666655
816-6399,6,4949.084444444444,18559.066666666673,0.26666666666666655
213-6521,4,3654.702222222222,13705.133333333339,0.26666666666666655
644-2966,4,3221.391111111111,12080.21666666667,0.26666666666666655
655-0099,4,2722.368888888889,10208.883333333339,0.26666666666666655
520-6578,3,2910.5244444444443,10914.46666666667,0.26666666666666655
280-8731,9,11845.19111111111,44419.46666666668,0.26666666666666655
875-4400,2,1674.5066666666667,6279.400000000003,0.26666666666666655
206-5795,9,10849.955555555554,40687.33333333334,0.26666666666666655
606-5692,9,10594.057777777778,39727.71666666668,0.26666666666666655
324-7186,8,9532.137777777778,35745.516666666685,0.26666666666666655
733-9336,6,4662.262222222222,17483.483333333337,0.26666666666666655
598-6971,4,3199.817777777778,11999.316666666671,0.26666666666666655
810-4598,4,3308.1377777777775,12405.51666666667,0.26666666666666655
855-9726,7,6298.333333333333,23618.750000000007,0.26666666666666655
501-8825,5,4381.866666666667,16432.000000000007,0.26666666666666655
501-0616,4,3568.8488888888887,13383.18333333334,0.26666666666666655
657-7605,4,3738.1422222222222,14018.03333333334,0.26666666666666655
885-8649,3,2573.0977777777775,9649.11666666667,0.26666666666666655
832-2331,4,5408.4222222222215,20281.58333333334,0.26666666666666655
736-1553,4,3457.5155555555557,12965.68333333334,0.26666666666666655
775-6604,4,4487.644444444444,16828.66666666667,0.26666666666666655
593-3908,4,3748.6355555555556,14057.38333333334,0.26666666666666655
661-5900,8,8148.8355555555545,30558.133333333342,0.26666666666666655
561-2692,6,5731.746666666667,21494.05000000001,0.26666666666666655
779-3979,7,5935.084444444444,22256.566666666673,0.26666666666666655
705-0925,6,5962.626666666667,22359.85000000001,0.26666666666666655
409-6889,5,4180.72,15677.700000000008,0.26666666666666655
830-2242,4,4080.728888888889,15302.73333333334,0.26666666666666655
844-2881,4,3308.071111111111,12405.26666666667,0.26666666666666655
442-9387,9,10024.044444444444,37590.16666666668,0.26666666666666655
317-4505,6,5919.76,22199.10000000001,0.26666666666666655
588-5702,6,4124.866666666666,15468.250000000004,0.26666666666666655
441-8810,4,3847.8622222222225,14429.48333333334,0.26666666666666655
642-7009,4,3589.3777777777773,13460.16666666667,0.26666666666666655
750-0283,9,9448.23111111111,35430.866666666676,0.26666666666666655
483-2986,6,5195.364444444445,19482.61666666668,0.26666666666666655
593-1258,8,9717.871111111112,36442.016666666685,0.26666666666666655
515-1675,4,4017.048888888889,15063.933333333342,0.26666666666666655
859-9607,4,4061.3377777777773,15230.01666666667,0.26666666666666655
334-4298,2,3413.124444444444,12799.21666666667,0.26666666666666655
866-5101,5,5497.488888888889,20615.583333333343,0.26666666666666655
682-3843,6,5267.133333333333,19751.750000000007,0.26666666666666655
857-7587,6,5720.733333333334,21452.75000000001,0.26666666666666655
487-7924,8,8370.875555555554,31390.78333333334,0.26666666666666655
550-3966,6,5535.88,20759.55000000001,0.26666666666666655
879-1824,6,5915.8133333333335,22184.30000000001,0.26666666666666655
534-5533,8,10189.32,38209.95000000001,0.26666666666666655
544-6323,6,5476.986666666667,20538.700000000008,0.26666666666666655
823-6739,1,181.84444444444443,681.916666666667,0.26666666666666655
636-4038,8,9519.404444444444,35697.766666666685,0.26666666666666655
203-6242,4,3257.351111111111,12215.066666666671,0.26666666666666655
290-9042,6,5653.542222222221,21200.78333333334,0.26666666666666655
263-4277,5,4369.182222222222,16384.433333333338,0.26666666666666655
487-8021,5,3392.5111111111114,12721.916666666673,0.26666666666666655
473-7797,7,5851.662222222223,21943.733333333344,0.26666666666666655
848-0923,6,5646.582222222222,21174.68333333334,0.26666666666666655
865-8304,8,8513.053333333333,31923.95000000001,0.26666666666666655
562-4978,5,4543.662222222222,17038.73333333334,0.26666666666666655
429-3957,4,3752.3288888888887,14071.233333333339,0.26666666666666655
230-3428,8,8929.817777777776,33486.81666666667,0.26666666666666655
506-6527,6,4242.195555555556,15908.23333333334,0.26666666666666655
781-1565,2,297.2444444444444,1114.666666666667,0.26666666666666655
531-4471,4,3371.0755555555556,12641.53333333334,0.26666666666666655
456-1577,6,5049.977777777777,18937.41666666667,0.26666666666666655
497-2170,6,5008.4044444444435,18781.51666666667,0.26666666666666655
228-4909,5,3712.1555555555556,13920.58333333334,0.26666666666666655
246-0228,4,3316.177777777778,12435.666666666672,0.26666666666666655
529-2396,4,3331.5155555555557,12493.18333333334,0.26666666666666655
395-8469,1,193.7111111111111,726.416666666667,0.26666666666666655
704-3565,8,8866.013333333332,33247.55000000001,0.26666666666666655
